pbs_code,prescriber_code,prescriber_type,schedule_code
"10071C","M","Medical Practitioners","3834"
"10072D","M","Medical Practitioners","3834"
"10073E","M","Medical Practitioners","3834"
"10074F","M","Medical Practitioners","3834"
"10074F","N","Nurse Practitioners","3834"
"10076H","M","Medical Practitioners","3834"
"10076H","N","Nurse Practitioners","3834"
"10077J","M","Medical Practitioners","3834"
"10078K","M","Medical Practitioners","3834"
"10079L","M","Medical Practitioners","3834"
"1007B","M","Medical Practitioners","3834"
"1007B","N","Nurse Practitioners","3834"
"1007B","W","Midwives","3834"
"10080M","M","Medical Practitioners","3834"
"10080M","N","Nurse Practitioners","3834"
"10081N","M","Medical Practitioners","3834"
"10082P","M","Medical Practitioners","3834"
"10083Q","M","Medical Practitioners","3834"
"10084R","M","Medical Practitioners","3834"
"10086W","M","Medical Practitioners","3834"
"10087X","M","Medical Practitioners","3834"
"10087X","N","Nurse Practitioners","3834"
"10089B","M","Medical Practitioners","3834"
"10089B","N","Nurse Practitioners","3834"
"10090C","M","Medical Practitioners","3834"
"10090C","N","Nurse Practitioners","3834"
"10091D","M","Medical Practitioners","3834"
"10091D","N","Nurse Practitioners","3834"
"10092E","M","Medical Practitioners","3834"
"10092E","N","Nurse Practitioners","3834"
"10093F","M","Medical Practitioners","3834"
"10093F","N","Nurse Practitioners","3834"
"10094G","M","Medical Practitioners","3834"
"10094G","N","Nurse Practitioners","3834"
"10095H","M","Medical Practitioners","3834"
"10096J","M","Medical Practitioners","3834"
"10096J","N","Nurse Practitioners","3834"
"10097K","M","Medical Practitioners","3834"
"10098L","M","Medical Practitioners","3834"
"100G","M","Medical Practitioners","3834"
"10100N","M","Medical Practitioners","3834"
"10100N","N","Nurse Practitioners","3834"
"10102Q","M","Medical Practitioners","3834"
"10103R","M","Medical Practitioners","3834"
"10104T","M","Medical Practitioners","3834"
"10104T","N","Nurse Practitioners","3834"
"10104T","W","Midwives","3834"
"10105W","M","Medical Practitioners","3834"
"10106X","M","Medical Practitioners","3834"
"10107Y","M","Medical Practitioners","3834"
"10107Y","N","Nurse Practitioners","3834"
"10108B","O","Optometrist","3834"
"10109C","M","Medical Practitioners","3834"
"10110D","M","Medical Practitioners","3834"
"10111E","M","Medical Practitioners","3834"
"10116K","M","Medical Practitioners","3834"
"10117L","M","Medical Practitioners","3834"
"10118M","M","Medical Practitioners","3834"
"10119N","M","Medical Practitioners","3834"
"10119N","N","Nurse Practitioners","3834"
"10122R","M","Medical Practitioners","3834"
"10124W","M","Medical Practitioners","3834"
"10124W","N","Nurse Practitioners","3834"
"10128C","M","Medical Practitioners","3834"
"10128C","N","Nurse Practitioners","3834"
"10129D","M","Medical Practitioners","3834"
"10130E","M","Medical Practitioners","3834"
"10131F","M","Medical Practitioners","3834"
"10132G","M","Medical Practitioners","3834"
"10133H","M","Medical Practitioners","3834"
"10134J","M","Medical Practitioners","3834"
"10135K","M","Medical Practitioners","3834"
"10136L","M","Medical Practitioners","3834"
"10137M","M","Medical Practitioners","3834"
"10138N","M","Medical Practitioners","3834"
"10140Q","M","Medical Practitioners","3834"
"10144X","M","Medical Practitioners","3834"
"10146B","M","Medical Practitioners","3834"
"10146B","N","Nurse Practitioners","3834"
"10148D","M","Medical Practitioners","3834"
"10149E","M","Medical Practitioners","3834"
"10149E","N","Nurse Practitioners","3834"
"10150F","M","Medical Practitioners","3834"
"10151G","M","Medical Practitioners","3834"
"10151G","N","Nurse Practitioners","3834"
"10152H","M","Medical Practitioners","3834"
"10152H","N","Nurse Practitioners","3834"
"10154K","M","Medical Practitioners","3834"
"10154K","N","Nurse Practitioners","3834"
"10155L","M","Medical Practitioners","3834"
"10155L","N","Nurse Practitioners","3834"
"10156M","M","Medical Practitioners","3834"
"10156M","N","Nurse Practitioners","3834"
"10157N","M","Medical Practitioners","3834"
"10158P","M","Medical Practitioners","3834"
"10159Q","M","Medical Practitioners","3834"
"10159Q","N","Nurse Practitioners","3834"
"10160R","M","Medical Practitioners","3834"
"10160R","N","Nurse Practitioners","3834"
"10161T","M","Medical Practitioners","3834"
"10161T","N","Nurse Practitioners","3834"
"10162W","M","Medical Practitioners","3834"
"10162W","N","Nurse Practitioners","3834"
"10163X","M","Medical Practitioners","3834"
"10163X","N","Nurse Practitioners","3834"
"10165B","M","Medical Practitioners","3834"
"10166C","M","Medical Practitioners","3834"
"10168E","M","Medical Practitioners","3834"
"10168E","N","Nurse Practitioners","3834"
"1016L","M","Medical Practitioners","3834"
"1016L","N","Nurse Practitioners","3834"
"10170G","M","Medical Practitioners","3834"
"10171H","M","Medical Practitioners","3834"
"10172J","M","Medical Practitioners","3834"
"10173K","M","Medical Practitioners","3834"
"10173K","N","Nurse Practitioners","3834"
"10174L","M","Medical Practitioners","3834"
"10175M","M","Medical Practitioners","3834"
"10176N","M","Medical Practitioners","3834"
"10176N","N","Nurse Practitioners","3834"
"10177P","M","Medical Practitioners","3834"
"10178Q","M","Medical Practitioners","3834"
"10178Q","N","Nurse Practitioners","3834"
"10180T","M","Medical Practitioners","3834"
"10181W","M","Medical Practitioners","3834"
"10181W","N","Nurse Practitioners","3834"
"10182X","M","Medical Practitioners","3834"
"10183Y","M","Medical Practitioners","3834"
"10184B","M","Medical Practitioners","3834"
"10185C","M","Medical Practitioners","3834"
"10185C","N","Nurse Practitioners","3834"
"10187E","M","Medical Practitioners","3834"
"10187E","N","Nurse Practitioners","3834"
"10188F","M","Medical Practitioners","3834"
"10188F","N","Nurse Practitioners","3834"
"10189G","M","Medical Practitioners","3834"
"10189G","N","Nurse Practitioners","3834"
"10190H","M","Medical Practitioners","3834"
"10191J","M","Medical Practitioners","3834"
"10192K","M","Medical Practitioners","3834"
"10194M","M","Medical Practitioners","3834"
"10195N","M","Medical Practitioners","3834"
"10195N","N","Nurse Practitioners","3834"
"10196P","M","Medical Practitioners","3834"
"10198R","M","Medical Practitioners","3834"
"10198R","N","Nurse Practitioners","3834"
"101H","M","Medical Practitioners","3834"
"10201X","M","Medical Practitioners","3834"
"10201X","N","Nurse Practitioners","3834"
"10202Y","M","Medical Practitioners","3834"
"10202Y","N","Nurse Practitioners","3834"
"10203B","M","Medical Practitioners","3834"
"10203B","N","Nurse Practitioners","3834"
"10204C","M","Medical Practitioners","3834"
"10204C","N","Nurse Practitioners","3834"
"10205D","M","Medical Practitioners","3834"
"10205D","N","Nurse Practitioners","3834"
"10206E","M","Medical Practitioners","3834"
"10206E","N","Nurse Practitioners","3834"
"10207F","M","Medical Practitioners","3834"
"10207F","N","Nurse Practitioners","3834"
"10208G","M","Medical Practitioners","3834"
"10208G","N","Nurse Practitioners","3834"
"10209H","M","Medical Practitioners","3834"
"10209H","N","Nurse Practitioners","3834"
"10209H","W","Midwives","3834"
"10211K","M","Medical Practitioners","3834"
"10211K","N","Nurse Practitioners","3834"
"10211K","W","Midwives","3834"
"10212L","M","Medical Practitioners","3834"
"10212L","N","Nurse Practitioners","3834"
"10213M","M","Medical Practitioners","3834"
"10213M","N","Nurse Practitioners","3834"
"10214N","M","Medical Practitioners","3834"
"10214N","N","Nurse Practitioners","3834"
"10218T","M","Medical Practitioners","3834"
"10218T","N","Nurse Practitioners","3834"
"10219W","M","Medical Practitioners","3834"
"10219W","N","Nurse Practitioners","3834"
"10220X","M","Medical Practitioners","3834"
"10220X","N","Nurse Practitioners","3834"
"10224D","M","Medical Practitioners","3834"
"10224D","N","Nurse Practitioners","3834"
"10226F","M","Medical Practitioners","3834"
"10228H","M","Medical Practitioners","3834"
"10229J","M","Medical Practitioners","3834"
"10229J","N","Nurse Practitioners","3834"
"10230K","M","Medical Practitioners","3834"
"10231L","M","Medical Practitioners","3834"
"10231L","N","Nurse Practitioners","3834"
"10232M","M","Medical Practitioners","3834"
"10233N","M","Medical Practitioners","3834"
"10234P","M","Medical Practitioners","3834"
"10234P","N","Nurse Practitioners","3834"
"10238W","M","Medical Practitioners","3834"
"10241B","M","Medical Practitioners","3834"
"10241B","N","Nurse Practitioners","3834"
"10242C","M","Medical Practitioners","3834"
"10243D","M","Medical Practitioners","3834"
"10245F","M","Medical Practitioners","3834"
"10245F","N","Nurse Practitioners","3834"
"10246G","M","Medical Practitioners","3834"
"10250L","M","Medical Practitioners","3834"
"10250L","N","Nurse Practitioners","3834"
"10254Q","M","Medical Practitioners","3834"
"10254Q","N","Nurse Practitioners","3834"
"10257W","M","Medical Practitioners","3834"
"10257W","N","Nurse Practitioners","3834"
"10258X","M","Medical Practitioners","3834"
"10258X","N","Nurse Practitioners","3834"
"10259Y","M","Medical Practitioners","3834"
"10259Y","N","Nurse Practitioners","3834"
"10260B","M","Medical Practitioners","3834"
"10260B","N","Nurse Practitioners","3834"
"10262D","M","Medical Practitioners","3834"
"10263E","M","Medical Practitioners","3834"
"10264F","M","Medical Practitioners","3834"
"10265G","M","Medical Practitioners","3834"
"10266H","M","Medical Practitioners","3834"
"10266H","N","Nurse Practitioners","3834"
"10267J","M","Medical Practitioners","3834"
"10272P","M","Medical Practitioners","3834"
"10272P","N","Nurse Practitioners","3834"
"10273Q","M","Medical Practitioners","3834"
"10273Q","N","Nurse Practitioners","3834"
"10277X","M","Medical Practitioners","3834"
"10277X","N","Nurse Practitioners","3834"
"10279B","M","Medical Practitioners","3834"
"10279B","N","Nurse Practitioners","3834"
"10281D","M","Medical Practitioners","3834"
"10282E","M","Medical Practitioners","3834"
"10283F","M","Medical Practitioners","3834"
"10283F","N","Nurse Practitioners","3834"
"10284G","M","Medical Practitioners","3834"
"10284G","N","Nurse Practitioners","3834"
"10286J","M","Medical Practitioners","3834"
"10286J","N","Nurse Practitioners","3834"
"10288L","M","Medical Practitioners","3834"
"10289M","M","Medical Practitioners","3834"
"10293R","M","Medical Practitioners","3834"
"10293R","N","Nurse Practitioners","3834"
"10294T","M","Medical Practitioners","3834"
"10294T","N","Nurse Practitioners","3834"
"10295W","M","Medical Practitioners","3834"
"10295W","N","Nurse Practitioners","3834"
"10298B","M","Medical Practitioners","3834"
"10298B","N","Nurse Practitioners","3834"
"102J","M","Medical Practitioners","3834"
"10301E","M","Medical Practitioners","3834"
"10301E","N","Nurse Practitioners","3834"
"10302F","M","Medical Practitioners","3834"
"10304H","M","Medical Practitioners","3834"
"10304H","N","Nurse Practitioners","3834"
"10306K","M","Medical Practitioners","3834"
"10306K","N","Nurse Practitioners","3834"
"10308M","M","Medical Practitioners","3834"
"10310P","M","Medical Practitioners","3834"
"10310P","N","Nurse Practitioners","3834"
"10311Q","M","Medical Practitioners","3834"
"10311Q","N","Nurse Practitioners","3834"
"10315X","M","Medical Practitioners","3834"
"10315X","N","Nurse Practitioners","3834"
"10318C","M","Medical Practitioners","3834"
"10318C","N","Nurse Practitioners","3834"
"10319D","M","Medical Practitioners","3834"
"10319D","N","Nurse Practitioners","3834"
"10320E","M","Medical Practitioners","3834"
"10320E","N","Nurse Practitioners","3834"
"10321F","M","Medical Practitioners","3834"
"10321F","N","Nurse Practitioners","3834"
"10322G","M","Medical Practitioners","3834"
"10323H","M","Medical Practitioners","3834"
"10327M","M","Medical Practitioners","3834"
"10327M","N","Nurse Practitioners","3834"
"10328N","M","Medical Practitioners","3834"
"10328N","N","Nurse Practitioners","3834"
"10329P","M","Medical Practitioners","3834"
"10329P","N","Nurse Practitioners","3834"
"10330Q","M","Medical Practitioners","3834"
"10330Q","N","Nurse Practitioners","3834"
"10331R","M","Medical Practitioners","3834"
"10331R","N","Nurse Practitioners","3834"
"10332T","M","Medical Practitioners","3834"
"10332T","N","Nurse Practitioners","3834"
"10333W","M","Medical Practitioners","3834"
"10334X","M","Medical Practitioners","3834"
"10341G","M","Medical Practitioners","3834"
"10343J","M","Medical Practitioners","3834"
"10343J","N","Nurse Practitioners","3834"
"10345L","M","Medical Practitioners","3834"
"10345L","N","Nurse Practitioners","3834"
"10347N","M","Medical Practitioners","3834"
"10347N","N","Nurse Practitioners","3834"
"10348P","M","Medical Practitioners","3834"
"10348P","N","Nurse Practitioners","3834"
"10349Q","M","Medical Practitioners","3834"
"10349Q","N","Nurse Practitioners","3834"
"1034K","M","Medical Practitioners","3834"
"1034K","N","Nurse Practitioners","3834"
"10353X","M","Medical Practitioners","3834"
"10353X","N","Nurse Practitioners","3834"
"10355B","M","Medical Practitioners","3834"
"10355B","N","Nurse Practitioners","3834"
"10356C","M","Medical Practitioners","3834"
"10356C","N","Nurse Practitioners","3834"
"10357D","M","Medical Practitioners","3834"
"10357D","N","Nurse Practitioners","3834"
"10358E","M","Medical Practitioners","3834"
"10360G","M","Medical Practitioners","3834"
"10360G","N","Nurse Practitioners","3834"
"10361H","M","Medical Practitioners","3834"
"10361H","N","Nurse Practitioners","3834"
"10367P","M","Medical Practitioners","3834"
"10367P","N","Nurse Practitioners","3834"
"10373Y","M","Medical Practitioners","3834"
"10374B","M","Medical Practitioners","3834"
"10376D","M","Medical Practitioners","3834"
"10376D","N","Nurse Practitioners","3834"
"10377E","M","Medical Practitioners","3834"
"10377E","N","Nurse Practitioners","3834"
"10378F","M","Medical Practitioners","3834"
"10378F","N","Nurse Practitioners","3834"
"10380H","M","Medical Practitioners","3834"
"10380H","N","Nurse Practitioners","3834"
"10382K","M","Medical Practitioners","3834"
"10383L","M","Medical Practitioners","3834"
"10384M","M","Medical Practitioners","3834"
"10385N","M","Medical Practitioners","3834"
"10386P","M","Medical Practitioners","3834"
"10387Q","M","Medical Practitioners","3834"
"10390W","M","Medical Practitioners","3834"
"10391X","M","Medical Practitioners","3834"
"10392Y","M","Medical Practitioners","3834"
"10392Y","N","Nurse Practitioners","3834"
"10393B","M","Medical Practitioners","3834"
"10393B","N","Nurse Practitioners","3834"
"10398G","M","Medical Practitioners","3834"
"10399H","M","Medical Practitioners","3834"
"10400J","M","Medical Practitioners","3834"
"10401K","M","Medical Practitioners","3834"
"10402L","M","Medical Practitioners","3834"
"10403M","M","Medical Practitioners","3834"
"10405P","M","Medical Practitioners","3834"
"10406Q","M","Medical Practitioners","3834"
"10407R","M","Medical Practitioners","3834"
"10411Y","M","Medical Practitioners","3834"
"10411Y","N","Nurse Practitioners","3834"
"10412B","M","Medical Practitioners","3834"
"10413C","M","Medical Practitioners","3834"
"10414D","M","Medical Practitioners","3834"
"10414D","N","Nurse Practitioners","3834"
"10415E","M","Medical Practitioners","3834"
"10416F","M","Medical Practitioners","3834"
"10416F","N","Nurse Practitioners","3834"
"10417G","M","Medical Practitioners","3834"
"10418H","M","Medical Practitioners","3834"
"10419J","M","Medical Practitioners","3834"
"10420K","M","Medical Practitioners","3834"
"10424P","M","Medical Practitioners","3834"
"10425Q","M","Medical Practitioners","3834"
"10426R","M","Medical Practitioners","3834"
"10427T","M","Medical Practitioners","3834"
"10428W","M","Medical Practitioners","3834"
"10430Y","M","Medical Practitioners","3834"
"10431B","M","Medical Practitioners","3834"
"10432C","M","Medical Practitioners","3834"
"10434E","M","Medical Practitioners","3834"
"10435F","M","Medical Practitioners","3834"
"10436G","M","Medical Practitioners","3834"
"10441M","M","Medical Practitioners","3834"
"10442N","M","Medical Practitioners","3834"
"10443P","M","Medical Practitioners","3834"
"10445R","M","Medical Practitioners","3834"
"10445R","N","Nurse Practitioners","3834"
"10446T","M","Medical Practitioners","3834"
"10449Y","M","Medical Practitioners","3834"
"10451C","M","Medical Practitioners","3834"
"10453E","M","Medical Practitioners","3834"
"10454F","M","Medical Practitioners","3834"
"10456H","M","Medical Practitioners","3834"
"10457J","M","Medical Practitioners","3834"
"10458K","M","Medical Practitioners","3834"
"10459L","M","Medical Practitioners","3834"
"10460M","M","Medical Practitioners","3834"
"10460M","N","Nurse Practitioners","3834"
"10462P","M","Medical Practitioners","3834"
"10463Q","M","Medical Practitioners","3834"
"10464R","M","Medical Practitioners","3834"
"10465T","M","Medical Practitioners","3834"
"10466W","M","Medical Practitioners","3834"
"10466W","N","Nurse Practitioners","3834"
"10467X","M","Medical Practitioners","3834"
"10472E","M","Medical Practitioners","3834"
"10473F","M","Medical Practitioners","3834"
"10474G","M","Medical Practitioners","3834"
"10474G","N","Nurse Practitioners","3834"
"10475H","M","Medical Practitioners","3834"
"10477K","M","Medical Practitioners","3834"
"10479M","M","Medical Practitioners","3834"
"10480N","M","Medical Practitioners","3834"
"10481P","M","Medical Practitioners","3834"
"10483R","M","Medical Practitioners","3834"
"10484T","M","Medical Practitioners","3834"
"10485W","M","Medical Practitioners","3834"
"10486X","M","Medical Practitioners","3834"
"10486X","N","Nurse Practitioners","3834"
"10488B","M","Medical Practitioners","3834"
"10489C","M","Medical Practitioners","3834"
"10490D","M","Medical Practitioners","3834"
"10492F","M","Medical Practitioners","3834"
"10492F","N","Nurse Practitioners","3834"
"10493G","M","Medical Practitioners","3834"
"10494H","M","Medical Practitioners","3834"
"10495J","M","Medical Practitioners","3834"
"10496K","M","Medical Practitioners","3834"
"10497L","M","Medical Practitioners","3834"
"10498M","M","Medical Practitioners","3834"
"104L","M","Medical Practitioners","3834"
"10500P","M","Medical Practitioners","3834"
"10501Q","M","Medical Practitioners","3834"
"10503T","M","Medical Practitioners","3834"
"10504W","M","Medical Practitioners","3834"
"10505X","M","Medical Practitioners","3834"
"10506Y","M","Medical Practitioners","3834"
"10507B","M","Medical Practitioners","3834"
"10508C","M","Medical Practitioners","3834"
"10509D","M","Medical Practitioners","3834"
"10509D","N","Nurse Practitioners","3834"
"10510E","M","Medical Practitioners","3834"
"10510E","N","Nurse Practitioners","3834"
"10511F","M","Medical Practitioners","3834"
"10512G","M","Medical Practitioners","3834"
"10513H","M","Medical Practitioners","3834"
"10514J","M","Medical Practitioners","3834"
"10515K","M","Medical Practitioners","3834"
"10515K","N","Nurse Practitioners","3834"
"10516L","M","Medical Practitioners","3834"
"10516L","N","Nurse Practitioners","3834"
"10517M","M","Medical Practitioners","3834"
"10518N","M","Medical Practitioners","3834"
"10519P","M","Medical Practitioners","3834"
"10520Q","M","Medical Practitioners","3834"
"10522T","M","Medical Practitioners","3834"
"10522T","N","Nurse Practitioners","3834"
"10523W","M","Medical Practitioners","3834"
"10524X","M","Medical Practitioners","3834"
"10526B","M","Medical Practitioners","3834"
"10526B","N","Nurse Practitioners","3834"
"10527C","M","Medical Practitioners","3834"
"10527C","N","Nurse Practitioners","3834"
"10528D","M","Medical Practitioners","3834"
"10528D","N","Nurse Practitioners","3834"
"10529E","M","Medical Practitioners","3834"
"10529E","N","Nurse Practitioners","3834"
"1052J","M","Medical Practitioners","3834"
"1052J","N","Nurse Practitioners","3834"
"10530F","M","Medical Practitioners","3834"
"10533J","M","Medical Practitioners","3834"
"10536M","M","Medical Practitioners","3834"
"10536M","N","Nurse Practitioners","3834"
"10538P","M","Medical Practitioners","3834"
"10538P","N","Nurse Practitioners","3834"
"10539Q","M","Medical Practitioners","3834"
"10540R","M","Medical Practitioners","3834"
"10541T","M","Medical Practitioners","3834"
"10541T","N","Nurse Practitioners","3834"
"10543X","M","Medical Practitioners","3834"
"10547D","O","Optometrist","3834"
"10549F","M","Medical Practitioners","3834"
"10550G","M","Medical Practitioners","3834"
"10551H","M","Medical Practitioners","3834"
"10551H","N","Nurse Practitioners","3834"
"10556N","M","Medical Practitioners","3834"
"10557P","M","Medical Practitioners","3834"
"10557P","N","Nurse Practitioners","3834"
"10558Q","M","Medical Practitioners","3834"
"10565C","M","Medical Practitioners","3834"
"10565C","N","Nurse Practitioners","3834"
"10566D","M","Medical Practitioners","3834"
"10572K","M","Medical Practitioners","3834"
"10573L","M","Medical Practitioners","3834"
"10577Q","M","Medical Practitioners","3834"
"10578R","M","Medical Practitioners","3834"
"10579T","M","Medical Practitioners","3834"
"10580W","M","Medical Practitioners","3834"
"10581X","M","Medical Practitioners","3834"
"10582Y","M","Medical Practitioners","3834"
"10584C","M","Medical Practitioners","3834"
"10585D","M","Medical Practitioners","3834"
"10586E","M","Medical Practitioners","3834"
"10587F","M","Medical Practitioners","3834"
"10588G","M","Medical Practitioners","3834"
"10589H","M","Medical Practitioners","3834"
"10590J","M","Medical Practitioners","3834"
"10592L","M","Medical Practitioners","3834"
"10594N","M","Medical Practitioners","3834"
"10596Q","M","Medical Practitioners","3834"
"10597R","M","Medical Practitioners","3834"
"10598T","M","Medical Practitioners","3834"
"10599W","M","Medical Practitioners","3834"
"105M","M","Medical Practitioners","3834"
"10600X","M","Medical Practitioners","3834"
"10600X","N","Nurse Practitioners","3834"
"10601Y","M","Medical Practitioners","3834"
"10601Y","N","Nurse Practitioners","3834"
"10602B","M","Medical Practitioners","3834"
"10602B","N","Nurse Practitioners","3834"
"10603C","M","Medical Practitioners","3834"
"10603C","N","Nurse Practitioners","3834"
"10604D","M","Medical Practitioners","3834"
"10604D","N","Nurse Practitioners","3834"
"10606F","M","Medical Practitioners","3834"
"10606F","N","Nurse Practitioners","3834"
"10607G","M","Medical Practitioners","3834"
"10607G","N","Nurse Practitioners","3834"
"10608H","M","Medical Practitioners","3834"
"10608H","N","Nurse Practitioners","3834"
"10610K","M","Medical Practitioners","3834"
"10610K","N","Nurse Practitioners","3834"
"10611L","M","Medical Practitioners","3834"
"10611L","N","Nurse Practitioners","3834"
"10612M","M","Medical Practitioners","3834"
"10612M","N","Nurse Practitioners","3834"
"10613N","M","Medical Practitioners","3834"
"10613N","N","Nurse Practitioners","3834"
"10614P","M","Medical Practitioners","3834"
"10615Q","M","Medical Practitioners","3834"
"10616R","M","Medical Practitioners","3834"
"10617T","M","Medical Practitioners","3834"
"10618W","M","Medical Practitioners","3834"
"10619X","M","Medical Practitioners","3834"
"10620Y","M","Medical Practitioners","3834"
"10621B","M","Medical Practitioners","3834"
"10626G","M","Medical Practitioners","3834"
"10626G","N","Nurse Practitioners","3834"
"10627H","M","Medical Practitioners","3834"
"10627H","N","Nurse Practitioners","3834"
"1062X","M","Medical Practitioners","3834"
"1062X","N","Nurse Practitioners","3834"
"10632N","M","Medical Practitioners","3834"
"10632N","N","Nurse Practitioners","3834"
"10633P","M","Medical Practitioners","3834"
"10633P","N","Nurse Practitioners","3834"
"10658Y","M","Medical Practitioners","3834"
"10658Y","N","Nurse Practitioners","3834"
"10677Y","M","Medical Practitioners","3834"
"10677Y","N","Nurse Practitioners","3834"
"10682F","M","Medical Practitioners","3834"
"10683G","M","Medical Practitioners","3834"
"10683G","N","Nurse Practitioners","3834"
"10684H","M","Medical Practitioners","3834"
"10684H","N","Nurse Practitioners","3834"
"10691Q","M","Medical Practitioners","3834"
"10692R","M","Medical Practitioners","3834"
"10692R","N","Nurse Practitioners","3834"
"10693T","M","Medical Practitioners","3834"
"10693T","N","Nurse Practitioners","3834"
"10694W","M","Medical Practitioners","3834"
"10694W","N","Nurse Practitioners","3834"
"10697B","M","Medical Practitioners","3834"
"10697B","N","Nurse Practitioners","3834"
"10698C","M","Medical Practitioners","3834"
"10698C","N","Nurse Practitioners","3834"
"10699D","M","Medical Practitioners","3834"
"106N","M","Medical Practitioners","3834"
"1070H","M","Medical Practitioners","3834"
"1070H","N","Nurse Practitioners","3834"
"10713W","M","Medical Practitioners","3834"
"10713W","N","Nurse Practitioners","3834"
"10714X","M","Medical Practitioners","3834"
"10715Y","M","Medical Practitioners","3834"
"10715Y","N","Nurse Practitioners","3834"
"10729Q","M","Medical Practitioners","3834"
"10729Q","N","Nurse Practitioners","3834"
"10730R","M","Medical Practitioners","3834"
"10730R","N","Nurse Practitioners","3834"
"10731T","M","Medical Practitioners","3834"
"10731T","N","Nurse Practitioners","3834"
"10732W","M","Medical Practitioners","3834"
"10732W","N","Nurse Practitioners","3834"
"10736C","M","Medical Practitioners","3834"
"10736C","N","Nurse Practitioners","3834"
"10737D","M","Medical Practitioners","3834"
"10737D","N","Nurse Practitioners","3834"
"10738E","M","Medical Practitioners","3834"
"10738E","N","Nurse Practitioners","3834"
"10743K","M","Medical Practitioners","3834"
"10745M","M","Medical Practitioners","3834"
"10746N","M","Medical Practitioners","3834"
"10746N","N","Nurse Practitioners","3834"
"10748Q","M","Medical Practitioners","3834"
"10755C","M","Medical Practitioners","3834"
"10755C","N","Nurse Practitioners","3834"
"10756D","M","Medical Practitioners","3834"
"10756D","N","Nurse Practitioners","3834"
"10757E","M","Medical Practitioners","3834"
"10757E","N","Nurse Practitioners","3834"
"10758F","M","Medical Practitioners","3834"
"10758F","N","Nurse Practitioners","3834"
"10759G","M","Medical Practitioners","3834"
"10759G","N","Nurse Practitioners","3834"
