program_code,dispensing_rule_mnem,markup_band_code,limit,variable,offset,fixed,schedule_code
"IN","s90-cp","C","2000.01","0.00","0.00","99.91","3834"
"IN","s94-private","A","0.01","0.00","0.00","0","3834"
"IN","s94-private","D","0.01","1.40","0.00","0","3834"
"IP","s94-public","A","0.01","0.00","0.00","0","3834"
"MF","s94-private-s100","A","0.01","0.00","0.00","0","3834"
"MF","s94-private-s100","D","0.01","10.00","0.00","0","3834"
"MF","s94-private-s100","D","40.01","0.00","0.00","4","3834"
"MF","s94-private-s100","D","100.01","4.00","0.00","0","3834"
"MF","s94-private-s100","D","1000.01","0.00","0.00","40","3834"
"MF","s94-public-s100","A","0.01","0.00","0.00","0","3834"
"PL","s90-cp","A","0.01","0.00","0.00","0","3834"
"PL","s90-cp","C","0.01","0.00","0.00","4.91","3834"
"PL","s90-cp","C","100","5.00","-100.00","4.91","3834"
"PL","s90-cp","C","2000.01","0.00","0.00","99.91","3834"
"PL","s90-cp","W","0.01","0.00","0.00","0.41","3834"
"PL","s90-cp","W","5.51","7.52","0.00","0","3834"
"PL","s90-cp","W","720.01","0.00","0.00","54.14","3834"
"PL","s94-private","A","0.01","0.00","0.00","0","3834"
"PL","s94-private","D","0.01","1.40","0.00","0","3834"
"PL","s94-private","W","0.01","0.00","0.00","0.41","3834"
"PL","s94-private","W","5.51","7.52","0.00","0","3834"
"PL","s94-private","W","720.01","0.00","0.00","54.14","3834"
"PL","s94-public","A","0.01","0.00","0.00","0","3834"
"PL","s94-public","W","0.01","0.00","0.00","0.41","3834"
"PL","s94-public","W","5.51","7.52","0.00","0","3834"
"PL","s94-public","W","720.01","0.00","0.00","54.14","3834"
"PQ","ds-assoc","A","0.01","0.00","0.00","0","3834"
"PQ","ds-assoc","E","0.01","2.75","0.00","0","3834"
"PQ","ds-assoc","W","0.01","0.00","0.00","0.41","3834"
"PQ","ds-assoc","W","5.51","7.52","0.00","0","3834"
"PQ","ds-assoc","W","720.01","0.00","0.00","54.14","3834"
"R1","s90-cp","A","0.01","0.00","0.00","0","3834"
"R1","s90-cp","C","0.01","0.00","0.00","4.91","3834"
"R1","s90-cp","C","100","5.00","-100.00","4.91","3834"
"R1","s90-cp","C","2000.01","0.00","0.00","99.91","3834"
"R1","s90-cp","W","0.01","0.00","0.00","0.41","3834"
"R1","s90-cp","W","5.51","7.52","0.00","0","3834"
"R1","s90-cp","W","720.01","0.00","0.00","54.14","3834"
"R1","s94-private","A","0.01","0.00","0.00","0","3834"
"R1","s94-private","D","0.01","1.40","0.00","0","3834"
"R1","s94-private","W","0.01","0.00","0.00","0.41","3834"
"R1","s94-private","W","5.51","7.52","0.00","0","3834"
"R1","s94-private","W","720.01","0.00","0.00","54.14","3834"
"R1","s94-public","A","0.01","0.00","0.00","0","3834"
"R1","s94-public","W","0.01","0.00","0.00","0.41","3834"
"R1","s94-public","W","5.51","7.52","0.00","0","3834"
"R1","s94-public","W","720.01","0.00","0.00","54.14","3834"
"TY","s90-cp-sa","A","0.01","0.00","0.00","0","3834"
"TY","s90-cp-sa","D","0.01","10.00","0.00","0","3834"
"TY","s90-cp-sa","D","40.01","0.00","0.00","4","3834"
"TY","s90-cp-sa","D","100.01","4.00","0.00","0","3834"
"TY","s90-cp-sa","D","1000.01","0.00","0.00","40","3834"
"TY","s94-private-sa","A","0.01","0.00","0.00","0","3834"
"TY","s94-private-sa","D","0.01","1.40","0.00","0","3834"
"TZ","s94-public","A","0.01","0.00","0.00","0","3834"
